Year,Region I (Ilocos Region),Region II (Cagayan Valley),Region III (Central Luzon),Region IV-A (CALABARZON),Region V (Bicol Region),Region VI (Western Visayas),Region VII (Central Visayas),Region VIII (Eastern Visayas),Region IX (Zamboanga Peninsula),Region X (Northern Mindanao),Region XI (Davao Region),Region XII (SOCCSKSARGEN),National Capital Region (NCR),Cordillera Administrative Region (CAR),Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Region XIII (Caraga),Negros Island Region (NIR),Region 19,Region Unknown
2020,3453911000.00,3398294000.00,5004220000.00,3904312000.00,3681803000.00,3778511000.00,3085211000.00,2969533000.00,2210494000.00,2476556000.00,2706856000.00,2705482000.00,82288390000.00,2131977000.00,246252000.00,2282422000.00,2231298000.00,0.00,0.00
2021,67082684000.00,57707237000.00,114201592000.00,116751616000.00,89552121000.00,91284321000.00,84801147000.00,76024574000.00,53923343000.00,65232116000.00,66121458000.00,51765466000.00,1799923823000.00,43533545000.00,8089882000.00,40850124000.00,49385375000.00,0.00,50000000.00
2022,127332598000.00,113120893000.00,223930440000.00,236545060000.00,159184726000.00,172504976000.00,158870438000.00,140288504000.00,95474258000.00,120158422000.00,113120753000.00,95815464000.00,2042793990000.00,75703671000.00,56436624000.00,80479776000.00,97409346000.00,0.00,914430061000.00
2023,130366129000.00,115427187000.00,222120563000.00,226821236000.00,149773445000.00,169248150000.00,157079242000.00,138549748000.00,95841179000.00,119423621000.00,107289627000.00,93550326000.00,2241655959000.00,65576454000.00,43769644000.00,79683190000.00,89299110000.00,7130550000.00,1015394640000.00
2024,129488283000.00,114709932000.00,227777298000.00,241874844000.00,160130770000.00,178350843000.00,166807522000.00,139150067000.00,97483215000.00,126584756000.00,113003078000.00,98594728000.00,2569800061000.00,69453278000.00,0.00,82199451000.00,97857419000.00,60186535000.00,1094147920000.00
2025,152954791000.00,121897043000.00,256169064000.00,264806591000.00,169856951000.00,192057536000.00,178514030000.00,150066492000.00,108192880000.00,134136265000.00,121103890000.00,105221356000.00,2665467590000.00,79116832000.00,0.00,91191605000.00,104025344000.00,66206489000.00,1365339551000.00
